stacks_APL,stacks_Ada,stacks_Apex,stacks_Assembly,stacks_Bash/Shell (all shells),stacks_C,stacks_C#,stacks_C++,stacks_Clojure,stacks_Cobol,stacks_Crystal,stacks_Dart,stacks_Delphi,stacks_Elixir,stacks_Erlang,stacks_F#,stacks_Flow,stacks_Fortran,stacks_GDScript,stacks_Go,stacks_Groovy,stacks_HTML/CSS,stacks_Haskell,stacks_Java,stacks_JavaScript,stacks_Julia,stacks_Kotlin,stacks_Lisp,stacks_Lua,stacks_MATLAB,stacks_Nim,stacks_OCaml,stacks_Objective-C,stacks_PHP,stacks_Perl,stacks_PowerShell,stacks_Prolog,stacks_Python,stacks_R,stacks_Raku,stacks_Ruby,stacks_Rust,stacks_SAS,stacks_SQL,stacks_Scala,stacks_Solidity,stacks_Swift,stacks_TypeScript,stacks_VBA,stacks_Visual Basic (.Net),stacks_Zig,Age,Employment,RemoteWork,EdLevel,YearsCode,YearsCodePro,OrgSize,Country,poder_de_compra,FinalDevType
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45-54-years-old,Employed-full-time,Hybrid-(some-remote-some-in-person),Bachelor’s-degree-(B.A.-B.S.-B.Eng.-etc.),27,23,5000-to-9999-employees,United-States-of-America,-0.577709395325784,back-end
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,35-44-years-old,Employed-full-time,Hybrid-(some-remote-some-in-person),Bachelor’s-degree-(B.A.-B.S.-B.Eng.-etc.),4,2,1000-to-4999-employees,Sweden,-0.1288423310052822,front-end
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,35-44-years-old,Employed-full-time,Remote,Bachelor’s-degree-(B.A.-B.S.-B.Eng.-etc.),24,19,10000-or-more-employees,Australia,-0.3075428246397053,Security-professional
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,25-34-years-old,Employed-full-time,Hybrid-(some-remote-some-in-person),Bachelor’s-degree-(B.A.-B.S.-B.Eng.-etc.),10,6,100-to-499-employees,India,1.3720366686321652,data-engineer
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,25-34-years-old,Employed-full-time,Hybrid-(some-remote-some-in-person),Master’s-degree-(M.A.-M.S.-M.Eng.-MBA-etc.),15,5,2-to-9-employees,Norway,2.0884584949592813,full-stack
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,25-34-years-old,Employed-full-time,Remote,Bachelor’s-degree-(B.A.-B.S.-B.Eng.-etc.),20,10,500-to-999-employees,United-States-of-America,-0.7416142103386433,System-administrator
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,35-44-years-old,Independent-contractor-freelancer-or-self-employed,Remote,Some-college/university-study-without-earning-a-degree,20,4,20-to-99-employees,Sweden,-0.10260210987387652,System-administrator
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25-34-years-old,Employed-full-time,Remote,Bachelor’s-degree-(B.A.-B.S.-B.Eng.-etc.),7,6,10000-or-more-employees,India,-0.18475755066574637,desktop or enterprise applications
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,35-44-years-old,Independent-contractor-freelancer-or-self-employed,Hybrid-(some-remote-some-in-person),Master’s-degree-(M.A.-M.S.-M.Eng.-MBA-etc.),34,23,2-to-9-employees,Norway,1.2802226491819395,full-stack
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18-24-years-old,Employed-full-time,Hybrid-(some-remote-some-in-person),Secondary-school-(e.g.-American-high-school-German-Realschule-or-Gymnasium-etc.),5,4,100-to-499-employees,Russian-Federation,0.6401121423216853,desktop or enterprise applications
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25-34-years-old,Independent-contractor-freelancer-or-self-employed,Remote,Something-else,22,12,5000-to-9999-employees,Poland,-0.6058245056102711,back-end
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,25-34-years-old,Employed-full-time;Independent-contractor-freelancer-or-self-employed,Hybrid-(some-remote-some-in-person),Bachelor’s-degree-(B.A.-B.S.-B.Eng.-etc.),21,3,20-to-99-employees,China,-0.5286183481235567,back-end
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,35-44-years-old,Employed-full-time,Remote,Master’s-degree-(M.A.-M.S.-M.Eng.-MBA-etc.),20,20,10000-or-more-employees,United-States-of-America,-0.7449250809132757,back-end
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35-44-years-old,Employed-full-time,Remote,Master’s-degree-(M.A.-M.S.-M.Eng.-MBA-etc.),10,8,20-to-99-employees,India,0.22496428821558653,mobile
1,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,65-years-or-older,Independent-contractor-freelancer-or-self-employed,Remote,Master’s-degree-(M.A.-M.S.-M.Eng.-MBA-etc.),50,50,Just-me---I-am-a-freelancer-sole-proprietor-etc.,Canada,-0.686471727804416,Other-(please-specify):
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,45-54-years-old,Employed-full-time,Hybrid-(some-remote-some-in-person),Master’s-degree-(M.A.-M.S.-M.Eng.-MBA-etc.),35,24,5000-to-9999-employees,Sweden,0.049488716293403776,DevOps-specialist
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,45-54-years-old,Employed-full-time,Hybrid-(some-remote-some-in-person),Bachelor’s-degree-(B.A.-B.S.-B.Eng.-etc.),40,30,10000-or-more-employees,Denmark,1.4067449261836815,Engineering-manager
